producto,id,precio,fecha
Empanadas,2,70000,2026-03-01
Pizzas,3,16000,2026-03-01
Sorrentinos,1,21000,2026-03-02
Panificados,4,40500,2026-03-03
Pizzas,3,29000,2026-03-03
Pizzas,3,22000,2026-03-03
Pizzas,3,20000,2026-03-03
Sorrentinos,1,16900,2026-03-03
Varios,6,57000,2026-03-04
Pizzas,3,17000,2026-03-05
Sorrentinos,1,8500,2026-03-05
Pizzas,3,13500,2026-03-08
Panificados,4,17200,2026-03-08
Pizzas,3,24000,2026-03-08
Panificados,4,12500,2026-03-12
Pizzas,3,20000,2026-03-15
Sorrentinos,1,15500,2026-03-16
Tallarines,5,7000,2026-03-22
Pizzas,3,21000,2026-03-22
Varios,6,32000,2026-03-25
Varios,6,35000,2026-03-26
Pizzas,3,21000,2026-03-27
Sorrentinos,1,8500,2026-03-28
Panificados,4,24000,2026-03-28
Sorrentinos,1,57500,2026-03-29
Pizzas,3,26000,2026-03-29
Sorrentinos,1,47300,2026-03-30
